,Unnamed: 0,text,star,original,cluster,action_cluster
28,28,"['bad', 'product', 'cool', 'issue', 'nd', 'week', 'rd', 'party', 'installation', 'provide', 'flipkart', 'bad', 'even', 'know', 'properly', 'install', 'response', 'call', 'lg', 'team', 'also', 'take', 'totally', 'hate', 'purchase']",1,"Worst product, Cooling issue from 2nd week, The 3rd party installation provided by flipkart is worst ,they don't even know to properly install it , no response while calling and lg team also not taking.
Totally hate the purchase.",0,1
29,29,"['bad', 'ac', 'ever', 'see', 'day', 'colling', 'process', 'become', 'pathetic', 'raise', 'complaint', 'solution', 'far', 'buy', 'kind', 'product', 'flipkart']",1,"Worst ac I ever seen. After 10 days, colling process became pathetic. I have raised complaints but no solution so far. Don't buy these kind of products from Flipkart.",0,1
30,30,"['indoor', 'machine', 'nitrogen', 'gas']",1,Indoor machine -no nitrogen gas,0,4
31,31,"['installation', 'water', 'leakage', 'problem', 'problem', 'still', 'exist', 'cool', 'take', 'time', 'acs', 'fan', 'speed', 'low', 'even', 'th', 'speed']",1,After Installation water leakage problem. Same problem still exists. Cooling takes more time than other Acs. Fan speed is very very very low even in 5th speed.,0,5
33,33,"['outdoor', 'noisy', 'cool', 'okay']",1,"Outdoor is very noisy
Cooling is okay",0,5
34,34,"['please', 'buy', 'product', 'cool', 'design', 'quality', 'lg', 'appliance', 'decrease', 'time', 'please', 'buy', 'another', 'brand', 'ac', 'save', 'money', 'bad', 'quality']",1,Please don't buy this product cooling 0% design 100% Quality of LG appliances decrease with time please buy another brand ac and save money Worst quality 😔,0,1
35,35,"['please', 'never', 'buy', 'less', 'cooling']",1,Please never buy. Very less cooling,0,5
36,36,"['please', 'buy', 'electronics', 'flipkart', 'get', 'ac', 'never', 'work', 'day', 'would', 'help', 'replacement', 'point', 'lg', 'customer', 'service', 'buy', 'anymore', 'product', 'flipkart']",1,"Please don't buy any electronics from Flipkart, I got this AC and it never worked from day 1. They wouldn't help with replacement and just point you to LG customer service. I'm not buying anymore products from Flipkart.",0,1
37,37,"['ton', 'ac', 'ton']",1,"It is only 1.25 Ton AC.

4400 W is 1.25 Ton",0,5
39,39,"['terrible', 'product']",1,Terrible product.,0,4
40,40,"['buy', 'ac', 'flipkart', 'ac', 'deliver', 'nd', 'june', 'service', 'engineer', 'come', 'installation', 'even', 'elapse', 'month', 'customer', 'care', 'executive', 'non', 'cooperative', 'worth', 'buying', 'rate', 'star']",1,Don't buy the AC from Flipkart. AC has been delivered on 2nd of June but No service engineer is coming for installation even after the elapse of 1 month. Customer care executives are non cooperative. It is not worth buying. I will rate it 0 star,0,2
41,41,"['bad', 'service', 'flipkart', 'ac', 'deliver', 'st', 'june', 'till', 'installation', 'do', 'many', 'follow', 'do', 'side', 'result', 'flipkart', 'team', 'give', 'fast', 'comment', 'daily', 'someone', 'want', 'pain', 'get', 'go', 'ahead', 'take', 'another', 'option']",1,Worst service by flipkart. My Ac delivered on 1st june and till now no installation done. Many follow up done by my side but no result. Flipkart team only giving fast comment daily. If someone want same pain which I get then go ahead or take another option.,0,2
42,42,"['buy', 'ac', 'cool', 'previously', 'own', 'lg', 'qc', 'good', 'aspect', 'buy', 'ac', 'otherwise', 'loose', 'money', 'cool', 'even', 'virat', 'mode', 'bad', 'ac', 'model']",1,"I bought this AC and it's not cooling at all. Previously I owned a LG qc which was good in all aspects. DONT BUY THIS AC OTHERWISE YOU WILL LOOSE YOUR MONEY.

0 COOLING EVEN ON VIRAT MODE

WORST AC MODEL",0,5
43,43,"['buy', 'ac', 'company', 'label', 'toh', 'ac', 'ton', 'ac', 'buy', 'lg', 'good', 'appliance', 'good', 'ac', 'work', 'degree', 'also', 'take', 'hour', 'cool', 'room', 'buy', 'want', 'chill', 'cool', 'ac', 'normal', 'cooler']",1,"Don't buy this AC, company labelling it as 1.5 toh AC, but it's not. It's 1.25 ton AC.

Don't
Don't
Don't
Don't buy it..
LG good for other appliances but not good in AC.
It won't work at 48 degree

Also it takes 2 hours to cool room
Don't buy if you want chilled cooling.

This AC is a normal cooler.",0,5
44,44,"['unit', 'able', 'maintaine', 'cool', 'effect', 'room', 'room', 'temprature', 'set', 'temprature', 'take', 'hour', 'reach', 'set', 'temprature', 'room', 'size', 'sft', 'room', 'air', 'pack', 'also']",1,This unit not able to maintaine the cooling effect in the room. If the room temprature is 32*c and we have set the temprature at 28*c then it will take 3 to 4 hour to reached the set temprature. My room size is 160sft. Room is air packed also.,0,5
45,45,"['review', 'use', 'ac', 'month', 'like', 'lgs', 'old', 'ac', 'take', 'much', 'time', 'cool', 'even', 'room', 'register', 'compain', 'lg', 'technician', 'also', 'accept', 'ac', 'take', 'time', 'cool', 'neighbours', 'ton', 'ac', 'cool', 'room', 'faster', 'ac', 'issue', 'remote', 'without', 'light', 'display', 'night', 'create', 'problem']",1,"I am reviewing after using this AC for ~6 months. It is not like LG's old ACs.
It takes too much time for cooling even 12x10 room. I registered compain to LG and their technician also accepted that this AC takes time to cool.
My neighbour's 1 ton AC cools room faster than this AC.
Other issue is remote is without light in display. so in the night it creates problem.",0,5
46,46,"['average', 'performance', 'cool', 'condition', 'sufficient', 'hc', 'position']",1,Average Performance.... cooling Condition is not Sufficient in HC Position,0,3
47,47,"['ac', 'good', 'installation', 'poor', 'charge', 'extra', 'outdoor', 'unit', 'installation', 'cover', 'tap', 'pipe', 'like', 'free', 'fund', 'job', 'even', 'carry', 'foldable', 'step', 'really', 'pathetic', 'rd', 'class', 'installation', 'instal', 'without', 'outdoor', 'unit', 'side', 'cover']",1,"AC is good but installation was very poor, charged extra for outdoor unit installation, no cover taping on pipe they did like free fund job. They didn't even carried their foldable steps. Really pathetic. 3rd class installation, installed without outdoor unit side cover.",0,1
48,48,"['product', 'work', 'properly']",1,Product is not working properly,0,4
49,49,"['cool', 'low']",1,Cooling is very low,0,5
50,50,"['buy', 'wastage', 'money', 'provide', 'cool', 'recommended', 'size', 'room', 'pls', 'buy']",1,Don't buy wastage of money it do nor provide cooling in the recommended size room. Pls don't buy it .,0,5
52,52,"['expensive', 'amount']",1,It is very expensive in this amount,0,5
53,53,"['avoid', 'buying']",1,Avoid buying,0,6
54,54,"['waste', 'product', 'lg', 'customer', 'service', 'bad', 'cooling', 'zero', 'raise', 'complaint', 'even', 'cool', 'good', 'do', 'buy', 'product', 'lg']",1,Waste product from LG . Customer service is very bad. Cooling is zero I raised complaint even after the cooling is not good . Done buy this product from LG,0,2
55,55,"['get', 'switch', 'automatically', 'minute', 'water', 'leaking', 'problem']",1,Getting switched off automatically after 30+ minutes and water leaking problem.,0,4
56,56,"['ac', 'cool', 'properly']",1,Ac is not cooling properly.,0,5
57,57,"['water', 'leak', 'indoor', 'unit', 'use', 'one', 'month', 'bad', 'experience', 'waste', 'money']",1,Water leaking from the indoor unit after use of one month was a very bad experience .. waste of money,0,4
58,58,"['bad', 'ceiling', 'fan', 'cool', 'nothing', 'dabba']",1,"Worse than a ceiling fan ,no cooling nothing ...dabba",0,5
60,60,"['cool', 'low', 'disappointed', 'set', 'take', 'approximately', 'hour', 'reach', 'room', 'temperature', 'consumes', 'kwh', 'unit', 'kwh', 'power', 'consumption', 'high', 'hour', 'usage']",1,"Cooling is very very low.
Very disappointed

When I set at 19c /20c it takes approximately 4 hour to reach 25 c room temperature from 31c.
And it consumes 12 kwh ( unit) to 13 kwh power consumption. It's very high for 4 hour usages.",0,5
61,61,"['product', 'instal', 'jeeves', 'technician', 'install', 'buy', 'ac', 'stand', 'stabilizer', 'dirc', 'lg', 'installation', 'cool', 'great', 'buy', 'ton', 'ton', 'useless', 'sqft', 'room']",1,The product was not installed as the Jeeves Technician won't install if you don't buy AC stand and stabilizer from them. I dirc LG for installation. Cooling is not that great. You have to buy 1 Ton or above. 0.8 Ton is useless for my 90 sq.ft room.,0,5
62,62,"['cool', 'capacity', 'low', 'take', 'much', 'time', 'cool']",1,Cooling capacity is very low ..takes too much time for cooling.,0,5
63,63,"['ai', 'feature', 'work']",1,The AI feature doesn't work,0,3
64,64,"['waste', 'money', 'get', 'complain', 'frequently', 'lg', 'customer', 'service', 'supportive', 'etc']",1,"Waste of money, getting complain frequently, lg customer service not supportive etc...",0,2
65,65,"['third', 'class', 'ac', 'purchase', 'ever', 'make', 'much', 'noise', 'run', 'condition', 'recommend', 'buy', 'anyone', 'utterly', 'disappointed', 'performance']",1,"Third class AC I have purchased ever, makes too much noise while in running condition. 8 won't recommend it to buy to anyone. Utterly disappointed by its performance too.",0,5
66,66,"['low', 'coolingnext', 'zero', 'cool', 'poor', 'service', 'jeeves', 'flipkart', 'poor', 'service', 'flipkart']",1,"very low cooling,next to zero cooling
poor service by jeeves of flipkart

poor service by flipkart",0,4
67,67,"['cool', 'properly', 'behaviour', 'technician', 'bad', 'buy']",1,"Not cooling properly. And the behaviour of the technician is very bad
don't buy",0,2
68,68,"['wrost', 'experience']",1,Wrost experience,0,6
69,69,"['one', 'month', 'write', 'review', 'worst', 'even', 'min', 'room', 'get', 'cool', 'get', 'noice']",1,"After one month i am writing this review, worst even after 30 mins the room is not getting cool and getting more noice",0,5
70,70,"['power', 'consumption', 'installation', 'properly']",1,More power consumption installation not properly,0,5
73,73,"['really', 'bad', 'even', 'hc', 'mode', 'capacity', 'able', 'bring', 'room', 'tem', 'even', 'summer', 'worst', 'product']",1,"It's really bad... Even in HC mode(110%) capacity, it is not able to bring the room tem down even to 27-28 during summers...
Worst product",0,5
74,74,"['coolingworst', 'ac', 'universe', 'recommend', 'never', 'buy', 'lg', 'ac']",1,Not cooling..worst AC in this universe. I recommend never to buy LG ac.,0,5
75,75,"['buy', 'product', 'give', 'review', 'use', 'month', 'water', 'leak', 'indoor', 'unit', 'cool', 'less']",1,"Don't buy this product. Giving review after using for 1month. Water leaking from indoor unit, cooling is very less.",0,5
76,76,"['write', 'review', 'lg', 'ton', 'star', 'ac', 'use', 'one', 'month', 'april', 'peak', 'hot', 'time', 'cool', 'poor', 'inefficient', 'continue', 'run', 'ac', 'hour', 'virat', 'mode', 'able', 'set', 'room', 'temperature', 'indoor', 'unit', 'size', 'small', 'compare', 'ton', 'ac', 'brand', 'circulate', 'air', 'wide', 'area', 'use', 'volta', 'hitachi', 'past', 'much', 'good', 'lg', 'bad', 'ac', 'read']",1,"I'm writing my review of LG 1.5-ton 3-star AC after using it for one month (In April which is not a peak hot time).

1. The cooling is very poor and inefficient. If you continue running the AC for more than 4 hours in Virat Mode, you won't be able to set the room temperature below 28 C.
2. Indoor unit size is small as compared to 1.5-ton ac of other brands so It doesn't circulate air in a wide area.

I have used Voltas and Hitachi in the past and they are much better than LG. Worst AC so I ...
READ MORE",0,5
78,78,"['cool', 'waste', 'money']",1,No cooling waste of money,0,4
79,79,"['write', 'review', 'use', 'month', 'lg', 'claim', 'viraat', 'mode', 'fake', 'cool', 'room', 'viraat', 'mode', 'normal', 'mode', 'minute', 'ac', 'go', 'inverter', 'mode', 'cool', 'room', 'highly', 'unsatisfied', 'product']",1,"Writing my review after using it for 1 month.
1. Lg claims about viraat mode is fake. It doesn't cool the room in viraat mode.
2. In normal mode after 15-20 minutes ac goes in the inverter mode. It again doesn't cool the room.
3. Highly unsatisfied with the product.",0,5
80,80,"['one', 'bad', 'purchase', 'make', 'recent', 'time']",1,One of the bad purchases I made in recent times.,0,4
81,81,"['kharab', 'quality']",1,Kharab quality,0,5
82,82,"['bad', 'product', 'waste', 'money', 'refrain', 'buy', 'high', 'value', 'product', 'flipkart']",1,Worst product. Waste of money. Refrain buying high value product from Flipkart,0,4
84,84,"['modrate', 'product']",1,Modrate product,0,4
86,86,"['buy', 'acit', 'cool', 'day']",1,"Don't buy this ac,it is not cooling from day 1.",0,5
87,87,"['waste', 'money', 'low', 'quality', 'product', 'room', 'cool', 'month', 'use']",1,"Waste money low quality product
11x12 Room Not Cooling 2 Month use",0,4
88,88,"['ac', 'doer', 'nunchi', 'water', 'vasthunae', 'complant', 'echanu', 'vachi', 'chusi', 'vellaru', 'kani', 'problem', 'enka', 'clear', 'avva', 'ledhu', 'service', 'baga', 'ledhu']",1,Ac doer nunchi water vasthunae complant echanu vachi chusi vellaru kani problem enka clear avva ledhu service baga ledhu,0,3
90,90,"['ac', 'take', 'much', 'time', 'cool', 'also', 'put', 'room', 'temp', 'show', 'run', 'hr']",1,"Ac takes too much time to cool , also if I put it on 24 room temp show 26 after running 1hr.",0,5
92,92,"['outdoor', 'unit', 'noise', 'unbearable']",1,Outdoor unit noise is unbearable,0,1
93,93,"['flipkart', 'provide', 'worst', 'customer', 'service', 'observe', 'day', 'ac', 'delivered', 'time', 'good', 'brand', 'authorise', 'partner', 'hyderabad', 'installation', 'do', 'week', 'bad', 'waste', 'time', 'money', 'believe', 'promise', 'date', 'installation', 'everyday', 'planning', 'get', 'one', 'flipkart', 'would', 'suggest']",1,"Flipkart provides the worst customer service which I've observed these days. My AC delivered on time but they didn't have a good brand authorised partner in Hyderabad so that my installation was not done for a week which is bad. I had wasted my time and money by believing their promised date of installation everyday. If you are planning to get this one Flipkart, I would suggest not to do that.",0,2
94,94,"['product', 'good', 'cool', 'even', 'degree']",1,"The product is not good, not cooling even in 16 degrees",0,5
95,95,"['perform', 'per', 'requirement', 'also', 'efficiency', 'good']",1,This is not performing as per requirement and also the efficiency is not good,0,2
96,96,"['low', 'cool', 'capacity', 'noise', 'high', 'use', 'since', 'day', 'time']",1,"Low cooling capacity and noise is very high, I'm using
Since 15 days of time",0,5
97,97,"['much', 'cost']",1,Too much cost,0,5
98,98,"['get', 'cool', 'blue', 'star', 'best']",1,"Not getting cooling, Blue star is best.",0,5
99,99,"['cool', 'problem', 'outdoor', 'problem']",1,Cooling problem and outdoor problem,0,1
100,100,"['product', 'fine', 'work', 'expect', 'installation', 'jeewas', 'poor', 'unprofessional']",1,Product is fine. Doing work as expected. But installation by Jeewas is very poor and unprofessional,0,4
101,101,"['read', 'buying', 'ac', 'buy', 'ac', 'last', 'week', 'face', 'less', 'cooling', 'issue', 'room', 'size', 'hardly', 'currently', 'room', 'temp', 'howers', 'around', 'take', 'min', 'bring', 'room', 'temp', 'cool', 'feel', 'place', 'get', 'air', 'call', 'engineer', 'twice', 'test', 'technical', 'say', 'ac', 'work', 'fine', 'read', 'review', 'less', 'cool', 'lg', 'ac', 'ignore', 'thinking', 'might', 'one', 'odd', 'issue', 'room', 'anyway', 'small', 'remember', 'hardly', 'read']",1,"Read Before Buying this AC.

Bought this AC last week and faced less cooling issue, My room size is hardly 11*11 and currently room temp howers around 30, It takes 30 min to bring down the room temp from 30 to 27,
Cooling you will feel only at places where you will get Air, called engineer twice they just test technicals and say AC is working fine

I read few reviews about less cooling from LG AC, ignored thinking it might be one odd issue and my room is anyway smaller.

Remember it Hardly...
READ MORE",0,5
102,102,"['product', 'good', 'purchase', 'flipkart', 'worst', 'ever', 'company', 'provide', 'proper', 'installation', 'allocate', 'jeevas', 'installation', 'team', 'technical', 'come', 'installation', 'customer', 'suffer', 'lot']",1,Product is good but Don't purchase from Flipkart worst ever company they don't provide proper installation they will allocate jeevas installation team but the technical will not come for installation. Customers will suffer a lot.,0,2
103,103,"['product', 'description', 'fair', 'price']",1,Product description not Fair for Price,0,4
106,106,"['cool', 'bad', 'comparison', 'hitachi', 'air', 'conditioner', 'even', 'cool', 'ton', 'hitachi', 'ton', 'ac', 'lg', 'even', 'lg', 'ac', 'maintain', 'fix', 'temperature', 'hour', 'continuously', 'also', 'wrost', 'situation', 'night', 'light', 'lg', 'remote']",1,"Cooling is very very bad in comparison of hitachi air conditioner., even cooling of 1 ton of hitachi is more than 1.5 ton a.c of l.g.
Even L.G a.c not maintain fix temperature for 2-4 hours continuously.
Also wrost situation in night because not light in L.G remote.",0,5
107,107,['work'],1,Does not work,0,4
108,108,"['product', 'fine', 'installation', 'flipkart', 'bad', 'mean', 'give', 'date', 'installation', 'come', 'call', 'rescheduled', 'mean', 'wtf', 'poor', 'thing', 'flipkart', 'expect']",1,The product is fine but the installation by Flipkart is very bad means you gave the date of installation and you didn't come when I called them they rescheduled it by themselves means wtf very poor thing by Flipkart not expecting this from you.,0,2
109,109,"['write', 'express', 'grow', 'frustration', 'disappointment', 'continue', 'issue', 'regard', 'air', 'conditioner', 'unit', 'inadequate', 'support', 'provide', 'service', 'center', 'despite', 'multiple', 'attempt', 'past', 'month', 'resolve', 'problem', 'unit', 'remain', 'nonfunctional', 'concern', 'adequately', 'address', 'prolonged', 'inconvenience', 'cause', 'significant', 'discomfort', 'especially', 'current', 'extreme', 'weather', 'condition', 'lack', 'timely', 'effective', 'read']",1,"I am writing to express my growing frustration and disappointment with the continued issues regarding my air conditioner unit and the inadequate support provided by your service center. Despite multiple attempts over the past month to resolve the problem, the unit remains non-functional, and my concerns have not been adequately addressed. This prolonged inconvenience has caused significant discomfort, especially in the current extreme weather conditions. The lack of a timely and effective re...
READ MORE",0,6
110,110,"['cool', 'properly', 'air', 'flow', 'good', 'air', 'swing', 'go', 'user', 'friendly', 'remote', 'bad', 'product']",1,"Not cooling properly, air flow not good , air swing not going down , no user friendly remote, very bad product",0,5
111,111,"['bad', 'product', 'work', 'hope', 'flipkart', 'taking', 'back']",1,"Worst product, doesn't work at all. Only hope is Flipkart taking it back.",0,4
112,112,"['day', 'purchase', 'ac', 'power', 'supply', 'work']",1,After 8 days purchase my AC power supply not working,0,1
113,113,"['low', 'cool']",1,VERY LOW COOL,0,5
114,114,"['water', 'likege', 'pipe']",1,Water likege pipe,0,1
115,115,"['ac', 'installation', 'bad', 'ac', 'swing', 'work', 'properly']",1,AC installation is worst and my ac swing is not working properly,0,5
116,116,"['product', 'cool', 'small', 'roomthey', 'mention', 'ai', 'model', 'model', 'ai', 'model', 'anti', 'viral', 'filter']",1,"Product not cooling in very small room...they are mentioning it its a AI model but its is not

This model is not AI model and does not have anti viral filter",0,3
117,117,"['product', 'ok', 'flipcart', 'service', 'bed']",1,Product is ok but flipcart service is very bed,0,4
118,118,"['worst', 'big', 'mistake', 'life', 'buy']",1,Its worst its my big mistake of my life don't buy,0,4
120,120,"['work', 'like', 'cooler', 'cool', 'degree', 'set', 'high', 'capacity', 'get', 'result', 'regret', 'decision', 'purchase']",1,Works like a cooler. No cooling at 24 degrees. Set it at high capacity to get some results. Regretting decision to purchase this,0,5
121,121,"['feature', 'work']",1,Most of the features won’t work .,0,6
122,122,"['worest', 'ac', 'cooling']",1,"Worest AC
No cooling",0,5
123,123,"['poor', 'cool', 'last', 'product', 'lg', 'side', 'poor', 'unprofessional', 'behaviour', 'installation', 'team', 'local', 'service']",1,Poor cooling.... Last product from LG from my side. Poor and unprofessional behaviour from installation team and local services,0,2
124,124,"['much', 'time', 'require', 'collingmore', 'energy', 'consumption']",1,Very much time required for colling.more energy consumption,0,5
125,125,"['cool', 'less', 'light', 'remote', 'display', 'cause', 'lot', 'trouble', 'change', 'function', 'night', 'price', 'ac', 'high', 'compare', 'dakin', 'ifb', 'well']",2,The cooling is very less and there is no light on the remote display which causes a lot of trouble while changing the function at night. The price of the AC is very high as compared to this. Dakin or IFB is better than this.,0,5
126,126,"['disappointment', 'cool', 'bad', 'look', 'chill', 'ac', 'go', 'brand']",2,"Very disappointment 😞
Cooling is very bad,
If you looking for chilling AC then you go other brand",0,5
127,127,"['lg', 'provide', 'value', 'money', 'product', 'hype', 'nothing', 'else', 'basic', 'thing', 'cool', 'able', 'properly', 'know', 'price', 'high']",2,Lg is not providing value for money product just the hype nothing else basic thing is cooling and it is not able to do that properly dont know why the price is so high,0,2
128,128,"['wifi', 'work']",2,Wifi is not working,0,6
129,129,"['want', 'add', 'review', 'consume', 'unit', 'hour', 'use', 'temperature', 'dependent', 'second', 'bad', 'thing', 'light', 'remote', 'face', 'problem', 'night', 'usage', 'take', 'minute', 'cool', 'way', 'swing', 'proper', 'work']",2,"I want to add some review on that it consumes 1.5 unit in an hour if you use in 100% it is not temperature dependent second bad thing is no light in the remote facing problem in night usage it takes 15 minutes to cool it down , 4 way swing is not proper working .",0,5
130,130,"['ac', 'faster', 'cool', 'lg', 'provide', 'cool', 'room', 'little', 'slow', 'thing', 'good', 'good', 'design', 'function', 'good', 'build', 'quality', 'cool', 'slow', 'acsair', 'throw', 'less', 'silent', 'recommend', 'cost', 'effective', 'product', 'repaygo', 'cheap', 'ac', 'use', 'year', 'replace']",3,"Ac should have faster cooling .....and Lg dont provide it... it cools the room but a little slow. all things are good very good design , functions, very good build quality ....but cooling is slower than other acs....air throw is very less( thats why it is silent ) . I dont recommend this because it is a not a cost effective product. it doesn't repay.....go for a cheaper ac and use it for 5 to 7 years and then replace it.",0,5
131,131,"['design', 'feature', 'look', 'good', 'convertible', 'feature', 'awesome', 'allows', 'make', 'work', 'ton', 'ton', 'ton', 'capacity', 'cool', 'cool', 'kick', 'couple', 'minute', 'good', 'sound', 'cool', 'start', 'metallic', 'high', 'pitch', 'sound', 'similar', 'refrigerator', 'come', 'indoor', 'unit', 'give', 'headache', 'totally', 'unacceptable', 'fan', 'almost', 'silent', 'copper', 'pipe', 'make', 'sound', 'delivery', 'request', 'deli', 'read']",3,"Design and features- 5/5 - looks good. The convertible feature is awesome which allows you to make it work at 1.2 ton, 1 ton and 0.8 ton capacity.

Cooling - 4/5 - Cooling kicks in in couple of minutes and is good.

Sounds - 2/5 - When Cooling starts, a metallic and high pitch sound (similar to a refrigerator) comes out of the indoor unit which gives you a headache. This is totally unacceptable. The fan is almost silent but the copper pipes make a sound.

Delivery - 3/5 - I requested to deli...
READ MORE",0,5
132,132,"['take', 'much', 'time', 'cool', 'room', 'much', 'satisfy', 'product']",3,"It takes very much time to cooling the room.
Not much satisfied with the product...",0,5
133,133,"['lot', 'time', 'take', 'cooling', 'room', 'even', 'though', 'low', 'temperature', 'exist', 'room']",3,A lot of time to take for cooling in the room even though low temperature exists in the room.,0,5
134,134,"['well', 'go', 'company', 'wifi', 'model', 'price', 'range', 'overall', 'product', 'good']",3,"Better go for other company with wifi model in this price range.
Overall product is good",0,3
135,135,"['cool', 'slow', 'daikin', 'best']",3,Cooling is slow. Daikin is best,0,5
136,136,"['smoke', 'visible', 'month']",3,Smoke is visible after 2 months,0,3
137,137,"['ok', 'ok', 'much', 'cool']",3,Ok ok not much cool,0,5
138,138,"['product', 'good', 'technician', 'come', 'installation', 'demand', 'extra', 'money']",3,Product is very good. Technician who came for installation demanded extra money.,0,2
141,141,['ok'],3,Ok,0,5
