,text,star
46,Average Performance.... cooling Condition is not Sufficient in HC Position,1
47,"AC is good but installation was very poor, charged extra for outdoor unit installation, no cover taping on pipe they did like free fund job. They didn't even carried their foldable steps. Really pathetic. 3rd class installation, installed without outdoor unit side cover.",1
48,Product is not working properly,1
49,Cooling is very low,1
50,Don't buy wastage of money it do nor provide cooling in the recommended size room. Pls don't buy it .,1
51,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,1
52,It is very expensive in this amount,1
53,Avoid buying,1
54,Waste product from LG . Customer service is very bad. Cooling is zero I raised complaint even after the cooling is not good . Done buy this product from LG,1
55,Getting switched off automatically after 30+ minutes and water leaking problem.,1
56,Ac is not cooling properly.,1
57,Water leaking from the indoor unit after use of one month was a very bad experience .. waste of money,1
58,"Worse than a ceiling fan ,no cooling nothing ...dabba",1
59,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC",1
60,"Cooling is very very low.
Very disappointed

When I set at 19c /20c it takes approximately 4 hour to reach 25 c room temperature from 31c.
And it consumes 12 kwh ( unit) to 13 kwh power consumption. It's very high for 4 hour usages.",1
61,The product was not installed as the Jeeves Technician won't install if you don't buy AC stand and stabilizer from them. I dirc LG for installation. Cooling is not that great. You have to buy 1 Ton or above. 0.8 Ton is useless for my 90 sq.ft room.,1
62,Cooling capacity is very low ..takes too much time for cooling.,1
63,The AI feature doesn't work,1
64,"Waste of money, getting complain frequently, lg customer service not supportive etc...",1
65,"Third class AC I have purchased ever, makes too much noise while in running condition. 8 won't recommend it to buy to anyone. Utterly disappointed by its performance too.",1
66,"very low cooling,next to zero cooling
poor service by jeeves of flipkart

poor service by flipkart",1
67,"Not cooling properly. And the behaviour of the technician is very bad
don't buy",1
68,Wrost experience,1
69,"After one month i am writing this review, worst even after 30 mins the room is not getting cool and getting more noice",1
70,More power consumption installation not properly,1
71,Very bad experience in this product..,1
72,Not cooling worst ac,1
73,"It's really bad... Even in HC mode(110%) capacity, it is not able to bring the room tem down even to 27-28 during summers...
Worst product",1
74,Not cooling..worst AC in this universe. I recommend never to buy LG ac.,1
75,"Don't buy this product. Giving review after using for 1month. Water leaking from indoor unit, cooling is very less.",1
76,"I'm writing my review of LG 1.5-ton 3-star AC after using it for one month (In April which is not a peak hot time).

1. The cooling is very poor and inefficient. If you continue running the AC for more than 4 hours in Virat Mode, you won't be able to set the room temperature below 28 C.
2. Indoor unit size is small as compared to 1.5-ton ac of other brands so It doesn't circulate air in a wide area.

I have used Voltas and Hitachi in the past and they are much better than LG. Worst AC so I ...
READ MORE",1
77,Worst Experience ever.,1
78,No cooling waste of money,1
79,"Writing my review after using it for 1 month.
1. Lg claims about viraat mode is fake. It doesn't cool the room in viraat mode.
2. In normal mode after 15-20 minutes ac goes in the inverter mode. It again doesn't cool the room.
3. Highly unsatisfied with the product.",1
80,One of the bad purchases I made in recent times.,1
81,Kharab quality,1
82,Worst product. Waste of money. Refrain buying high value product from Flipkart,1
83,Not good,1
84,Modrate product,1
85,Very bad product,1
86,"Don't buy this ac,it is not cooling from day 1.",1
87,"Waste money low quality product
11x12 Room Not Cooling 2 Month use",1
88,Ac doer nunchi water vasthunae complant echanu vachi chusi vellaru kani problem enka clear avva ledhu service baga ledhu,1
89,Very bad experience,1
90,"Ac takes too much time to cool , also if I put it on 24 room temp show 26 after running 1hr.",1
91,Worst product,1
92,Outdoor unit noise is unbearable,1
93,"Flipkart provides the worst customer service which I've observed these days. My AC delivered on time but they didn't have a good brand authorised partner in Hyderabad so that my installation was not done for a week which is bad. I had wasted my time and money by believing their promised date of installation everyday. If you are planning to get this one Flipkart, I would suggest not to do that.",1
94,"The product is not good, not cooling even in 16 degrees",1
95,This is not performing as per requirement and also the efficiency is not good,1
96,"Low cooling capacity and noise is very high, I'm using
Since 15 days of time",1
97,Too much cost,1
98,"Not getting cooling, Blue star is best.",1
99,Cooling problem and outdoor problem,1
100,Product is fine. Doing work as expected. But installation by Jeewas is very poor and unprofessional,1
101,"Read Before Buying this AC.

Bought this AC last week and faced less cooling issue, My room size is hardly 11*11 and currently room temp howers around 30, It takes 30 min to bring down the room temp from 30 to 27,
Cooling you will feel only at places where you will get Air, called engineer twice they just test technicals and say AC is working fine

I read few reviews about less cooling from LG AC, ignored thinking it might be one odd issue and my room is anyway smaller.

Remember it Hardly...
READ MORE",1
102,Product is good but Don't purchase from Flipkart worst ever company they don't provide proper installation they will allocate jeevas installation team but the technical will not come for installation. Customers will suffer a lot.,1
103,Product description not Fair for Price,1
104,Very bad,1
105,Not good product,1
106,"Cooling is very very bad in comparison of hitachi air conditioner., even cooling of 1 ton of hitachi is more than 1.5 ton a.c of l.g.
Even L.G a.c not maintain fix temperature for 2-4 hours continuously.
Also wrost situation in night because not light in L.G remote.",1
107,Does not work,1
108,The product is fine but the installation by Flipkart is very bad means you gave the date of installation and you didn't come when I called them they rescheduled it by themselves means wtf very poor thing by Flipkart not expecting this from you.,1
109,"I am writing to express my growing frustration and disappointment with the continued issues regarding my air conditioner unit and the inadequate support provided by your service center. Despite multiple attempts over the past month to resolve the problem, the unit remains non-functional, and my concerns have not been adequately addressed. This prolonged inconvenience has caused significant discomfort, especially in the current extreme weather conditions. The lack of a timely and effective re...
READ MORE",1
110,"Not cooling properly, air flow not good , air swing not going down , no user friendly remote, very bad product",1
111,"Worst product, doesn't work at all. Only hope is Flipkart taking it back.",1
112,After 8 days purchase my AC power supply not working,1
113,VERY LOW COOL,1
114,Water likege pipe,1
115,AC installation is worst and my ac swing is not working properly,1
116,"Product not cooling in very small room...they are mentioning it its a AI model but its is not

This model is not AI model and does not have anti viral filter",1
117,Product is ok but flipcart service is very bed,1
118,Its worst its my big mistake of my life don't buy,1
119,Very bad product,1
120,Works like a cooler. No cooling at 24 degrees. Set it at high capacity to get some results. Regretting decision to purchase this,1
121,Most of the features won’t work .,1
122,"Worest AC
No cooling",1
123,Poor cooling.... Last product from LG from my side. Poor and unprofessional behaviour from installation team and local services,1
124,Very much time required for colling.more energy consumption,1
125,The cooling is very less and there is no light on the remote display which causes a lot of trouble while changing the function at night. The price of the AC is very high as compared to this. Dakin or IFB is better than this.,2
126,"Very disappointment 😞
Cooling is very bad,
If you looking for chilling AC then you go other brand",2
127,Lg is not providing value for money product just the hype nothing else basic thing is cooling and it is not able to do that properly dont know why the price is so high,2
128,Wifi is not working,2
129,"I want to add some review on that it consumes 1.5 unit in an hour if you use in 100% it is not temperature dependent second bad thing is no light in the remote facing problem in night usage it takes 15 minutes to cool it down , 4 way swing is not proper working .",2
130,"Ac should have faster cooling .....and Lg dont provide it... it cools the room but a little slow. all things are good very good design , functions, very good build quality ....but cooling is slower than other acs....air throw is very less( thats why it is silent ) . I dont recommend this because it is a not a cost effective product. it doesn't repay.....go for a cheaper ac and use it for 5 to 7 years and then replace it.",3
131,"Design and features- 5/5 - looks good. The convertible feature is awesome which allows you to make it work at 1.2 ton, 1 ton and 0.8 ton capacity.

Cooling - 4/5 - Cooling kicks in in couple of minutes and is good.

Sounds - 2/5 - When Cooling starts, a metallic and high pitch sound (similar to a refrigerator) comes out of the indoor unit which gives you a headache. This is totally unacceptable. The fan is almost silent but the copper pipes make a sound.

Delivery - 3/5 - I requested to deli...
READ MORE",3
132,"It takes very much time to cooling the room.
Not much satisfied with the product...",3
133,A lot of time to take for cooling in the room even though low temperature exists in the room.,3
134,"Better go for other company with wifi model in this price range.
Overall product is good",3
135,Cooling is slow. Daikin is best,3
136,Smoke is visible after 2 months,3
137,Ok ok not much cool,3
138,Product is very good. Technician who came for installation demanded extra money.,3
139,👍👍👍 good,3
140,Good,3
141,Ok,3
142,Good,3
143,Overall my experience with lg air conditioner 1.5 ton 5star AC is Good compared with other brands.and installation person is also polite.its my genuine review.,3
144,Not satisfied,3
145,Noise heavy,3
146,Delivery was good. Product is good and cooling is quite good. Installation is good but charged little extra than mentioned. Disappointed to see that the model is from 2023 and Flipkart is saying 2024 new arrival,4
147,"Honestly speaking, the AC is too good at this price segment. Overall performance is best. It takes less time to cool and it also operates in silent manner. The 6-in-1 feature is just like fire🔥. This variant has no WIFI facility and the display of the remote has no light. It may be difficult to operate the remote in night when all the lights of the room are off. Overall, I am happy with this product after 30 days using

But I am not satisfied with the installation work from Jeeves company. F...
READ MORE",4
148,Over all a good product,4
149,"Nice product , only the worst part is installation but Flipkart expert will support you if installation will not done properly
Overall experience is good with Flipkart and product is also good....nice cooling and nice finishing 😀🧿",4
150,Very good product,4
151,"Thank you so much Flipkart, product is very good 👍",4
152,"Pros:
- Viraat mode cools really quickly
- Overall good performance throughout the season
- Feels like late spring when using hot mode in winter

Cons:
- capacity is affected if outdoor unit is in direct sunlight",4
153,Good product in 2024 and for cooling taking 5 -10 min of time. features are good for energy saving..,4
154,Best product,4
155,Nice product. Installation is also good. Go for it. 👍👍👍💯,4
156,"Faster Cooling..value for money.

Please check before installing..all parts",4
157,Worth for money must buy,4
158,Cooling is great,4
159,"AC is great, the Exchange AC Pickup Person was rude, and was deceiving us into giving him tip and copper pipe, which we bought ourselves for the old AC.

about LG AC, the cooling is great, though the wing, doesn't come down completely, and doesn't cool the ground or doesn't cool the bed, if the AC is placed right above the bed. Very Annoying, will ask the LG support team for assistance with this. Rest all the AC is great. The cooling is good, cools the room in approx. 5 - 10mins completely. L...
READ MORE",4
160,Superb,4
161,"Lg cool good in 165 sq ft room , but price is little high.",4
162,good performance,4
163,Value for money same day installation,4
164,Excellent cooling within less time it's value for money,4
165,Feel satisfied with the product and it its worth spending,4
166,Nice 👍product colling is perfect,4
167,Awesome,4
168,2days review awsome,4
169,Good Product Highly Recommended 😍,4
170,Good,4
171,The product seems good after using it for 15 days,4
172,"It is very early to express,",4
173,Brand is enough,4
174,"Product good, nice packaging, installation time is long",4
175,"Brand is always brand, but final review seeks more time. One day experience satisfactory.",4
176,"Nice air conditioner,",4
177,Cooling is very good . Good service by LG . Overall value for money .,4
178,Good but instalation cost very high,4
179,Good,4
180,It's ok,4
181,"2 days delivery and 1 day installation. Total process completed in 3 days. Thank you flipkart.
Review after using 4 month
Advanatge : Energy saving, good cooling, best installation process.
Drawbacks:
1. No 90 degree swing facility
2. No instant cooling ( virat mode not sufficient)
3. Timer reset automatically if current is gone.
4. Remote has no backlight.(in dark have to use mobile)",4
182,Very nice product value money thanks flipkart delivered installation in time,4
183,very good in every way,4
184,Super 👍,4
185,Everything was good but only one feature is missing you need to add wifi feature also in this .,4
186,"Product good.and installation good 01/03/24
I will change my review in a few days",4
187,It was Good and Worth it 👌 😌,4
188,Cooling it's good,4
189,Just now purchase,4
190,Good product,4
191,First ac of life feeling gud,5
192,"Really nice product on such a low price. And got good facilities by LG...!
Same day installation!!
Would like to recommend everyone for buying this AC from flipkart! 😉☺😊",5
193,"I Liked silent operation of indoor and outdoor units , this AC can very well be operated with a mobile over WIFI, Nice looking modern AC indoor unit and outdoor unit, The outdoor unit is having PCB fitted on the Right side top in the outdoor unit, Therefore more working space need be kept on the right side for future replacement of PCB by a mechanic , You can not fit OD unit with no space left for maintenance on right side, Hence, those with limited space for fixing OD AC unit in a balcony ...
READ MORE",5
194,Product is good but installation people r worst,5
195,"Awesome ac, but installation service from Flipkart Jeevas is not that perfect",5
196,"Product is good, but instalation done, boys are worst",5
197,Nice product,5
198,Useful product but lg installation worker are very not skill full work,5
199,"Cool product, Really worth the money.
Definitely recommended for rooms which are bigger than 150 square metres.
Cooling happens at very limited time and silent operation as well.
LG is making their products at best.
Will use the product for a couple of months and add an updated review.",5
200,"Waste of money . AC not working till one month of installation. Installed by Jeeves company authorized from LG but both are blaming on one another
I request not to purchase from flipkart
As it lie there as waste of money
Junk",1
201,"I purchased this LG A. C. on 17 April 23..The most horrible experience ever... My A. C. Is just not working... Even if I run it on 16 the room is hot.. I don't understand what is it .. I have an IFB ac in my hometown. It's 3 years old.. I have to wear a blanket even if I put it on 27 degree C..
But this LG AC.. I get a feeling that iv been fooled.. I'm a very nice guy.. Normally i never complain of things... But this time the experience has been really disastrous... I have problem when it ge...
READ MORE",1
202,"If you want to buy a white showpiece for your bedroom then go ahead otherwise BIG NO. Worst service experience. Flipkart would not accept return/exchange if you need to. The indoor unit has serious water leakage issues, so this showpiece can be used as bedside shower.",1
203,Totally waste of money. company is not refund my money as per their policy which was not mentioned during purchase. That is why i am not using this and i have put it in the store room. thanks Flipkart 🙏🙏🙏,1
204,"This model don't have 4 way swing, it's actual ton is 1.3 because it's cooling capacity is 4400w, they are cheating us and selling it as 1.5 ton compare with other ac brands",1
205,"Do not buy any product from Flipkart
Not cooling
Ac remote stop working within a month",1
206,"Worst service from flipkart and jeeves ,wrong instllation done of indoor and outdoor unit ,continuous water leakage from Indoor unit ,no service support as continously following up from day of installation ,still no positive response",1
207,My ac is not getting temperature less than 23,1
208,Watter leek in outdoor pipe line indoor,1
209,Third class AC very very slow cooling,1
210,Not giving cool instent cooling i m not satisfied with this product ....,1
211,Please do not buy from here. AC is not cooling at all.,1
212,Not energy efficient. Not as per company spoken.,1
213,"Installation not good, water lekeage issue after 10 days",1
214,It worked a week and cooling rate dropped drastically. May be I received the defective one.,1
215,Very bad product,1
216,Not energy seving,1
217,Plz don't buy ....it's not working,1
218,No cooling heavy electricity bill. Better to buy bluestar 1 tonn ac,1
219,Product is very nice but service is not that good as my AC has cooling issue and not resolved by company or installation team..also known that the LG company and installation tema was different so ensure while installing,1
220,Very worst product,1
221,"Not a good product and installation by service partner is worst, installation tacnician is unexperienced . Thay made my new ac into old ac. Ac is not cooling room",1
222,Worst experience,1
223,Cooling is very bad,1
224,Very bad Cooling problem,1
225,Not good products,1
226,Please don't get this ..... LG is completely fraud and Flipkart never sends people to install this product.. we have ordered this on May 1 and we have not yet recieved a person to install the same..,1
227,It's cooling power is soo poor,1
228,"Worst product, Cooling issue from 2nd week, The 3rd party installation provided by flipkart is worst ,they don't even know to properly install it , no response while calling and lg team also not taking.
Totally hate the purchase.",1
229,"Worst ac I ever seen. After 10 days, colling process became pathetic. I have raised complaints but no solution so far. Don't buy these kind of products from Flipkart.",1
230,Indoor machine -no nitrogen gas,1
231,After Installation water leakage problem. Same problem still exists. Cooling takes more time than other Acs. Fan speed is very very very low even in 5th speed.,1
232,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,1
233,"Outdoor is very noisy
Cooling is okay",1
234,Please don't buy this product cooling 0% design 100% Quality of LG appliances decrease with time please buy another brand ac and save money Worst quality 😔,1
235,Please never buy. Very less cooling,1
236,"Please don't buy any electronics from Flipkart, I got this AC and it never worked from day 1. They wouldn't help with replacement and just point you to LG customer service. I'm not buying anymore products from Flipkart.",1
237,"It is only 1.25 Ton AC.

4400 W is 1.25 Ton",1
238,20 days installation not cooling bad product not,1
239,Terrible product.,1
240,Don't buy the AC from Flipkart. AC has been delivered on 2nd of June but No service engineer is coming for installation even after the elapse of 1 month. Customer care executives are non cooperative. It is not worth buying. I will rate it 0 star,1
241,Worst service by flipkart. My Ac delivered on 1st june and till now no installation done. Many follow up done by my side but no result. Flipkart team only giving fast comment daily. If someone want same pain which I get then go ahead or take another option.,1
242,"I bought this AC and it's not cooling at all. Previously I owned a LG qc which was good in all aspects. DONT BUY THIS AC OTHERWISE YOU WILL LOOSE YOUR MONEY.

0 COOLING EVEN ON VIRAT MODE

WORST AC MODEL",1
243,"Don't buy this AC, company labelling it as 1.5 toh AC, but it's not. It's 1.25 ton AC.

Don't
Don't
Don't
Don't buy it..
LG good for other appliances but not good in AC.
It won't work at 48 degree

Also it takes 2 hours to cool room
Don't buy if you want chilled cooling.

This AC is a normal cooler.",1
244,This unit not able to maintaine the cooling effect in the room. If the room temprature is 32*c and we have set the temprature at 28*c then it will take 3 to 4 hour to reached the set temprature. My room size is 160sft. Room is air packed also.,1
245,"I am reviewing after using this AC for ~6 months. It is not like LG's old ACs.
It takes too much time for cooling even 12x10 room. I registered compain to LG and their technician also accepted that this AC takes time to cool.
My neighbour's 1 ton AC cools room faster than this AC.
Other issue is remote is without light in display. so in the night it creates problem.",1
246,Average Performance.... cooling Condition is not Sufficient in HC Position,1
247,"AC is good but installation was very poor, charged extra for outdoor unit installation, no cover taping on pipe they did like free fund job. They didn't even carried their foldable steps. Really pathetic. 3rd class installation, installed without outdoor unit side cover.",1
248,Product is not working properly,1
249,Cooling is very low,1
250,Don't buy wastage of money it do nor provide cooling in the recommended size room. Pls don't buy it .,1
251,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,1
252,It is very expensive in this amount,1
253,Avoid buying,1
254,Waste product from LG . Customer service is very bad. Cooling is zero I raised complaint even after the cooling is not good . Done buy this product from LG,1
255,Getting switched off automatically after 30+ minutes and water leaking problem.,1
256,Ac is not cooling properly.,1
257,Water leaking from the indoor unit after use of one month was a very bad experience .. waste of money,1
258,"Worse than a ceiling fan ,no cooling nothing ...dabba",1
259,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC",1
260,"Cooling is very very low.
Very disappointed

When I set at 19c /20c it takes approximately 4 hour to reach 25 c room temperature from 31c.
And it consumes 12 kwh ( unit) to 13 kwh power consumption. It's very high for 4 hour usages.",1
261,The product was not installed as the Jeeves Technician won't install if you don't buy AC stand and stabilizer from them. I dirc LG for installation. Cooling is not that great. You have to buy 1 Ton or above. 0.8 Ton is useless for my 90 sq.ft room.,1
262,Cooling capacity is very low ..takes too much time for cooling.,1
263,The AI feature doesn't work,1
264,"Waste of money, getting complain frequently, lg customer service not supportive etc...",1
265,"Third class AC I have purchased ever, makes too much noise while in running condition. 8 won't recommend it to buy to anyone. Utterly disappointed by its performance too.",1
266,"very low cooling,next to zero cooling
poor service by jeeves of flipkart

poor service by flipkart",1
267,"Not cooling properly. And the behaviour of the technician is very bad
don't buy",1
268,Wrost experience,1
269,"After one month i am writing this review, worst even after 30 mins the room is not getting cool and getting more noice",1
270,More power consumption installation not properly,1
271,Very bad experience in this product..,1
272,Not cooling worst ac,1
273,"It's really bad... Even in HC mode(110%) capacity, it is not able to bring the room tem down even to 27-28 during summers...
Worst product",1
274,Not cooling..worst AC in this universe. I recommend never to buy LG ac.,1
275,"Don't buy this product. Giving review after using for 1month. Water leaking from indoor unit, cooling is very less.",1
276,"I'm writing my review of LG 1.5-ton 3-star AC after using it for one month (In April which is not a peak hot time).

1. The cooling is very poor and inefficient. If you continue running the AC for more than 4 hours in Virat Mode, you won't be able to set the room temperature below 28 C.
2. Indoor unit size is small as compared to 1.5-ton ac of other brands so It doesn't circulate air in a wide area.

I have used Voltas and Hitachi in the past and they are much better than LG. Worst AC so I ...
READ MORE",1
277,Worst Experience ever.,1
278,No cooling waste of money,1
279,"Writing my review after using it for 1 month.
1. Lg claims about viraat mode is fake. It doesn't cool the room in viraat mode.
2. In normal mode after 15-20 minutes ac goes in the inverter mode. It again doesn't cool the room.
3. Highly unsatisfied with the product.",1
280,One of the bad purchases I made in recent times.,1
281,Kharab quality,1
282,Worst product. Waste of money. Refrain buying high value product from Flipkart,1
283,Not good,1
284,Modrate product,1
285,Very bad product,1
286,"Don't buy this ac,it is not cooling from day 1.",1
287,"Waste money low quality product
11x12 Room Not Cooling 2 Month use",1
288,Ac doer nunchi water vasthunae complant echanu vachi chusi vellaru kani problem enka clear avva ledhu service baga ledhu,1
289,Very bad experience,1
290,"Ac takes too much time to cool , also if I put it on 24 room temp show 26 after running 1hr.",1
291,Worst product,1
292,Outdoor unit noise is unbearable,1
293,"Flipkart provides the worst customer service which I've observed these days. My AC delivered on time but they didn't have a good brand authorised partner in Hyderabad so that my installation was not done for a week which is bad. I had wasted my time and money by believing their promised date of installation everyday. If you are planning to get this one Flipkart, I would suggest not to do that.",1
294,"The product is not good, not cooling even in 16 degrees",1
295,This is not performing as per requirement and also the efficiency is not good,1
296,"Low cooling capacity and noise is very high, I'm using
Since 15 days of time",1
297,Too much cost,1
298,"Not getting cooling, Blue star is best.",1
299,Cooling problem and outdoor problem,1
300,"Waste of money . AC not working till one month of installation. Installed by Jeeves company authorized from LG but both are blaming on one another
I request not to purchase from flipkart
As it lie there as waste of money
Junk",1
301,"I purchased this LG A. C. on 17 April 23..The most horrible experience ever... My A. C. Is just not working... Even if I run it on 16 the room is hot.. I don't understand what is it .. I have an IFB ac in my hometown. It's 3 years old.. I have to wear a blanket even if I put it on 27 degree C..
But this LG AC.. I get a feeling that iv been fooled.. I'm a very nice guy.. Normally i never complain of things... But this time the experience has been really disastrous... I have problem when it ge...
READ MORE",1
302,"If you want to buy a white showpiece for your bedroom then go ahead otherwise BIG NO. Worst service experience. Flipkart would not accept return/exchange if you need to. The indoor unit has serious water leakage issues, so this showpiece can be used as bedside shower.",1
303,Totally waste of money. company is not refund my money as per their policy which was not mentioned during purchase. That is why i am not using this and i have put it in the store room. thanks Flipkart 🙏🙏🙏,1
304,"This model don't have 4 way swing, it's actual ton is 1.3 because it's cooling capacity is 4400w, they are cheating us and selling it as 1.5 ton compare with other ac brands",1
305,"Do not buy any product from Flipkart
Not cooling
Ac remote stop working within a month",1
306,"Worst service from flipkart and jeeves ,wrong instllation done of indoor and outdoor unit ,continuous water leakage from Indoor unit ,no service support as continously following up from day of installation ,still no positive response",1
307,My ac is not getting temperature less than 23,1
308,Watter leek in outdoor pipe line indoor,1
309,Third class AC very very slow cooling,1
310,Not giving cool instent cooling i m not satisfied with this product ....,1
311,Please do not buy from here. AC is not cooling at all.,1
312,Not energy efficient. Not as per company spoken.,1
313,"Installation not good, water lekeage issue after 10 days",1
314,It worked a week and cooling rate dropped drastically. May be I received the defective one.,1
315,Very bad product,1
316,Not energy seving,1
317,Plz don't buy ....it's not working,1
318,No cooling heavy electricity bill. Better to buy bluestar 1 tonn ac,1
319,Product is very nice but service is not that good as my AC has cooling issue and not resolved by company or installation team..also known that the LG company and installation tema was different so ensure while installing,1
320,Very worst product,1
321,"Not a good product and installation by service partner is worst, installation tacnician is unexperienced . Thay made my new ac into old ac. Ac is not cooling room",1
322,Worst experience,1
323,Cooling is very bad,1
324,Very bad Cooling problem,1
325,Not good products,1
326,Please don't get this ..... LG is completely fraud and Flipkart never sends people to install this product.. we have ordered this on May 1 and we have not yet recieved a person to install the same..,1
327,It's cooling power is soo poor,1
328,"Worst product, Cooling issue from 2nd week, The 3rd party installation provided by flipkart is worst ,they don't even know to properly install it , no response while calling and lg team also not taking.
Totally hate the purchase.",1
329,"Worst ac I ever seen. After 10 days, colling process became pathetic. I have raised complaints but no solution so far. Don't buy these kind of products from Flipkart.",1
330,Indoor machine -no nitrogen gas,1
331,After Installation water leakage problem. Same problem still exists. Cooling takes more time than other Acs. Fan speed is very very very low even in 5th speed.,1
332,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,1
333,"Outdoor is very noisy
Cooling is okay",1
334,Please don't buy this product cooling 0% design 100% Quality of LG appliances decrease with time please buy another brand ac and save money Worst quality 😔,1
335,Please never buy. Very less cooling,1
336,"Please don't buy any electronics from Flipkart, I got this AC and it never worked from day 1. They wouldn't help with replacement and just point you to LG customer service. I'm not buying anymore products from Flipkart.",1
337,"It is only 1.25 Ton AC.

4400 W is 1.25 Ton",1
338,20 days installation not cooling bad product not,1
339,Terrible product.,1
